structure,struct_id,color
PL,0,#ff0000
ILA,1,#ff0000
ORB,2,#ff0000
ACA,3,#5252a9
RSP,4,#5252a9
AI,5,#ffcc00
GU,6,#ffcc00
VISC,7,#ffcc00
PERl,8,#ffcc00
ECT,9,#ffcc00
FRP,10,#ff6600
MOp,11,#ff6600
MOs,12,#ff6600
SSp,13,#ff6600
SSs,14,#ff6600
VISa,15,#007dff
VISrl,16,#007dff
VISam,17,#007dff
VISpm,18,#007dff
VISal,19,#007dff
VISp,20,#007dff
VISl,21,#007dff
VISpl,22,#007dff
VISli,23,#007dff
VISpor,24,#007dff
TEa,25,#007dff
AUDp,26,#7C429B
AUDd,27,#7C429B
AUDpo,28,#7C429B
AUDv,29,#7C429B
NLOT,30,#9ad2bd
TR,31,#9ad2bd
CA1,32,#7ed04b
ENTl,33,#7ed04b
ENTm,34,#7ed04b
BLA,35,#8ada87
BMA,36,#8ada87
LA,37,#8ada87
CPdm,38,#98d5f9
CPvm,39,#98d5f9
CPiv,40,#98d5f9
CPl,41,#98d5f9
CPp,42,#98d5f9
GPe-dm,43,#8599cc
GPe-vm,44,#8599cc
GPe-iv,45,#8599cc
GPe-l,46,#8599cc
GPe-p,47,#8599cc
GPe-d,48,#8599cc
GPe-m,49,#8599cc
GPi,50,#8599cc
GPi-d,51,#8599cc
GPi-dm,52,#8599cc
GPi-iv,53,#8599cc
GPi-l,54,#8599cc
GPi-m,55,#8599cc
GPi-p,56,#8599cc
GPi-vm,57,#8599cc
CM,58,#ff7081
PCN,59,#ff7081
CL,60,#ff7081
PF,61,#ff7081
PF-dm,62,#ff7081
PF-d,63,#ff7081
PF-vm,64,#ff7081
PF-iv,65,#ff7081
PF-l,66,#ff7081
PF-p,67,#ff7081
PVT,68,#ff7081
PT,69,#ff7081
IMD,70,#ff7081
RE,71,#ff7081
AM,72,#ff7081
MD,73,#ff7081
LP,74,#ff7081
VPM,75,#ff7081
VPL,76,#ff7081
PO,77,#ff7081
VAL,78,#ff7081
VM,79,#ff7081
PoT,80,#ff7081
PIL,81,#ff7081
POL,82,#ff7081
SGN,83,#ff7081
MG,84,#ff7081
VPMpc,85,#ff7081
ZI,86,#e64438
STN,87,#e64438
STN-m,88,#e64438
STN-v,89,#e64438
STN-v,90,#e64438
SNr-vm,91,#ff64ff
SNr-dm,92,#ff64ff
SNr-d,93,#ff64ff
SNr-l,94,#ff64ff
SNr-ll,95,#ff64ff
SNr-m,96,#ff64ff
SNr-v,97,#ff64ff
VTA,98,#ff64ff
SNc,99,#ff64ff
DR,100,#ff64ff
PB,101,#ff64ff
