order,name,color
1,PL,ff0000ff
2,ILA,ff0000ff
3,ORBl,ff0000ff
4,ORBm,ff0000ff
5,ORBvl,ff0000ff
6,FRP,ff0000ff
7,AId,ffcc00ff
8,AIp,ffcc00ff
9,AIv,ffcc00ff
10,GU,ffcc00ff
11,VISC,ffcc00ff
12,PERI,ffcc00ff
13,ECT,ffcc00ff
14,MOp,ff6600ff
15,MOs,ff6600ff
16,SSp,ff6600ff
17,MOp-m,ff6600ff
18,MOs-m,ff6600ff
19,SSp-m,ff6600ff
20,MOs-bfd,ff6600ff
21,MOs-n/bfd,ff6600ff
22,SSp-bfd,ff6600ff
23,MOp-ul,ff6600ff
24,MOs-ul,ff6600ff
25,SSp-ul,ff6600ff
26,MOs-tr,ff6600ff
27,SSp-tr,ff6600ff
28,MOp-ll,ff6600ff
29,MOs-ll,ff6600ff
30,SSp-ll,ff6600ff
31,MOs-n,ff6600ff
32,SSp-n,ff6600ff
33,SSp-un,ff6600ff
34,SSs,ff6600ff
35,VISa,007dffff
36,VISal,007dffff
37,VISrl,007dffff
38,VISam,007dffff
39,VISpm,007dffff
40,VISp,007dffff
41,VISl,007dffff
42,VISpl,007dffff
43,VISli,007dffff
44,VISpor,007dffff
45,ACAd,5252A9
46,ACAv,5252A9
47,RSPagl,5252A9
48,RSPd,5252A9
49,RSPv,5252A9
50,AUDd,170017ff
51,AUDp,170017ff
52,AUDpo,170017ff
53,AUDv,170017ff
54,TEa,170017ff
55,PIR,
56,NLOT,
57,COAp,
58,TR,
59,CA1,
60,ENTl,
61,ENTm,
62,ProS,
63,LA,
64,BLA,
65,BMA,
66,AAA,
67,CEA,
68,MEA,
69,GPe,
70,BST,
71,VAL,
72,VM,
73,VPL,
74,VPM,
75,VPMpc,
76,MG,
77,LP,
78,PO,
79,SGN,
80,AV,
81,AM,
82,AD,
83,IAD,
84,LD,
85,IMD,
86,MD,
87,SMT,
88,PVT,
89,PT,
90,RE,
91,CM,
92,PCN,
93,PF,
94,PIL,
95,PSTN,
96,STN,
97,ZI,
98,SNr,
99,VTA,
100,MRN,
101,PAG,
102,DR,
103,PB,
